"Estado","a�o","sexo","cortes.edad","numerocasos"
"Baja California","2007","G","60 - 64",2
"Baja California Sur","2007","G","60 - 64",3
"Campeche","2007","G","60 - 64",1
"Coahuila","2007","G","60 - 64",2
"Colima","2007","G","60 - 64",289
"Chiapas","2007","G","60 - 64",9
"Chihuahua","2007","G","60 - 64",5
"Distrito Federal","2007","G","60 - 64",5
"Durango","2007","G","60 - 64",185
"Guanajuato","2007","G","60 - 64",723
"Guerrero","2007","G","60 - 64",1068
"Hidalgo","2007","G","60 - 64",6
"Jalisco","2007","G","60 - 64",1500
"México","2007","G","60 - 64",148
"Michoacán","2007","G","60 - 64",653
"Morelos","2007","G","60 - 64",1107
"Nayarit","2007","G","60 - 64",526
"Nuevo León","2007","G","60 - 64",5
"Oaxaca","2007","G","60 - 64",201
"Puebla","2007","G","60 - 64",473
"Querétaro","2007","G","60 - 64",91
"Quintana Roo","2007","G","60 - 64",2
"San Luis Potosí","2007","G","60 - 64",10
"Sinaloa","2007","G","60 - 64",247
"Sonora","2007","G","60 - 64",101
"Tabasco","2007","G","60 - 64",1
"Tamaulipas","2007","G","60 - 64",9
"Tlaxcala","2007","G","60 - 64",0
"Veracruz","2007","G","60 - 64",6
"Yucatán","2007","G","60 - 64",2
"Zacatecas","2007","G","60 - 64",153
"Aguascalientes","2007","G","65 y +",157
"Baja California","2007","G","65 y +",6
"Baja California Sur","2007","G","65 y +",2
"Campeche","2007","G","65 y +",1
"Coahuila","2007","G","65 y +",10
"Colima","2007","G","65 y +",556
"Chiapas","2007","G","65 y +",16
"Chihuahua","2007","G","65 y +",22
"Distrito Federal","2007","G","65 y +",18
"Durango","2007","G","65 y +",342
"Guanajuato","2007","G","65 y +",1644
"Guerrero","2007","G","65 y +",2390
"Hidalgo","2007","G","65 y +",11
"Jalisco","2007","G","65 y +",3374
"México","2007","G","65 y +",344
"Michoacán","2007","G","65 y +",1448
"Morelos","2007","G","65 y +",1987
"Nayarit","2007","G","65 y +",1040
"Nuevo León","2007","G","65 y +",6
"Oaxaca","2007","G","65 y +",568
"Puebla","2007","G","65 y +",1332
"Querétaro","2007","G","65 y +",157
"Quintana Roo","2007","G","65 y +",3
"San Luis Potosí","2007","G","65 y +",23
"Sinaloa","2007","G","65 y +",577
"Sonora","2007","G","65 y +",268
"Tabasco","2007","G","65 y +",2
"Tamaulipas","2007","G","65 y +",16
"Tlaxcala","2007","G","65 y +",2
"Veracruz","2007","G","65 y +",19
"Yucatán","2007","G","65 y +",4
"Zacatecas","2007","G","65 y +",335
"Aguascalientes","2007","G","Ign.",0
"Baja California","2007","G","Ign.",1
"Baja California Sur","2007","G","Ign.",0
"Campeche","2007","G","Ign.",0
"Coahuila","2007","G","Ign.",0
"Colima","2007","G","Ign.",18
"Chiapas","2007","G","Ign.",0
"Chihuahua","2007","G","Ign.",0
"Distrito Federal","2007","G","Ign.",0
"Durango","2007","G","Ign.",4
"Guanajuato","2007","G","Ign.",15
"Guerrero","2007","G","Ign.",86
"Hidalgo","2007","G","Ign.",0
"Jalisco","2007","G","Ign.",84
"México","2007","G","Ign.",1
"Michoacán","2007","G","Ign.",16
"Morelos","2007","G","Ign.",33
"Nayarit","2007","G","Ign.",6
"Nuevo León","2007","G","Ign.",0
"Oaxaca","2007","G","Ign.",4
"Puebla","2007","G","Ign.",35
"Querétaro","2007","G","Ign.",0
"Quintana Roo","2007","G","Ign.",0
"San Luis Potosí","2007","G","Ign.",0
"Sinaloa","2007","G","Ign.",10
"Sonora","2007","G","Ign.",2
"Tabasco","2007","G","Ign.",1
"Tamaulipas","2007","G","Ign.",0
"Tlaxcala","2007","G","Ign.",1
"Veracruz","2007","G","Ign.",0
"Yucatán","2007","G","Ign.",0
"Zacatecas","2007","G","Ign.",1
"Aguascalientes","2007","G","Total",1933
"Baja California","2007","G","Total",140
"Baja California Sur","2007","G","Total",134
"Campeche","2007","G","Total",44
"Coahuila","2007","G","Total",185
"Colima","2007","G","Total",9874
"Chiapas","2007","G","Total",306
"Chihuahua","2007","G","Total",390
"Distrito Federal","2007","G","Total",462
"Durango","2007","G","Total",6536
"Guanajuato","2007","G","Total",32288
"Guerrero","2007","G","Total",38672
"Hidalgo","2007","G","Total",150
"Jalisco","2007","G","Total",55886
"México","2007","G","Total",6435
"Michoacán","2007","G","Total",27581
"Morelos","2007","G","Total",32353
"Nayarit","2007","G","Total",15908
"Nuevo León","2007","G","Total",204
"Oaxaca","2007","G","Total",5517
"Puebla","2007","G","Total",14893
"Querétaro","2007","G","Total",3668
"Quintana Roo","2007","G","Total",103
"San Luis Potosí","2007","G","Total",373
"Sinaloa","2007","G","Total",7903
"Sonora","2007","G","Total",4809
"Tabasco","2007","G","Total",41
"Tamaulipas","2007","G","Total",317
"Tlaxcala","2007","G","Total",53
"Veracruz","2007","G","Total",335
"Yucatán","2007","G","Total",69
"Zacatecas","2007","G","Total",3878
"Aguascalientes","2008","G","<1",10
"Baja California","2008","G","<1",3
"Baja California Sur","2008","G","<1",2
"Campeche","2008","G","<1",7
"Coahuila","2008","G","<1",1
"Colima","2008","G","<1",47
"Chiapas","2008","G","<1",6
"Chihuahua","2008","G","<1",12
"Distrito Federal","2008","G","<1",2
"Durango","2008","G","<1",36
"Guanajuato","2008","G","<1",194
"Guerrero","2008","G","<1",293
"Hidalgo","2008","G","<1",0
"Jalisco","2008","G","<1",339
"México","2008","G","<1",65
"Michoacán","2008","G","<1",232
"Morelos","2008","G","<1",152
"Nayarit","2008","G","<1",91
"Nuevo León","2008","G","<1",3
"Oaxaca","2008","G","<1",35
"Puebla","2008","G","<1",67
"Querétaro","2008","G","<1",35
"Quintana Roo","2008","G","<1",0
"San Luis Potosí","2008","G","<1",2
"Sinaloa","2008","G","<1",72
"Sonora","2008","G","<1",63
"Tabasco","2008","G","<1",0
"Tamaulipas","2008","G","<1",4
"Tlaxcala","2008","G","<1",0
"Veracruz","2008","G","<1",4
"Yucatán","2008","G","<1",0
"Zacatecas","2008","G","<1",23
"Aguascalientes","2008","G","1-4",131
"Baja California","2008","G","1-4",10
"Baja California Sur","2008","G","1-4",11
"Campeche","2008","G","1-4",15
"Coahuila","2008","G","1-4",19
"Colima","2008","G","1-4",543
"Chiapas","2008","G","1-4",26
"Chihuahua","2008","G","1-4",54
"Distrito Federal","2008","G","1-4",36
"Durango","2008","G","1-4",445
"Guanajuato","2008","G","1-4",2273
"Guerrero","2008","G","1-4",3756
"Hidalgo","2008","G","1-4",6
"Jalisco","2008","G","1-4",4253
"México","2008","G","1-4",907
"Michoacán","2008","G","1-4",2781
"Morelos","2008","G","1-4",2541
"Nayarit","2008","G","1-4",991
"Nuevo León","2008","G","1-4",17
"Oaxaca","2008","G","1-4",424
"Puebla","2008","G","1-4",1189
"Querétaro","2008","G","1-4",327
"Quintana Roo","2008","G","1-4",7
"San Luis Potosí","2008","G","1-4",19
"Sinaloa","2008","G","1-4",620
"Sonora","2008","G","1-4",473
"Tabasco","2008","G","1-4",3
"Tamaulipas","2008","G","1-4",30
"Tlaxcala","2008","G","1-4",3
"Veracruz","2008","G","1-4",16
"Yucatán","2008","G","1-4",7
"Zacatecas","2008","G","1-4",289
"Aguascalientes","2008","G","5-9",223
"Baja California","2008","G","5-9",16
"Baja California Sur","2008","G","5-9",10
"Campeche","2008","G","5-9",9
"Coahuila","2008","G","5-9",21
"Colima","2008","G","5-9",787
"Chiapas","2008","G","5-9",27
"Chihuahua","2008","G","5-9",56
"Distrito Federal","2008","G","5-9",47
"Durango","2008","G","5-9",564
"Guanajuato","2008","G","5-9",3082
"Guerrero","2008","G","5-9",5032
"Hidalgo","2008","G","5-9",18
"Jalisco","2008","G","5-9",5671
"México","2008","G","5-9",1114
"Michoacán","2008","G","5-9",3530
"Morelos","2008","G","5-9",3344
"Nayarit","2008","G","5-9",1276
"Nuevo León","2008","G","5-9",17
"Oaxaca","2008","G","5-9",542
"Puebla","2008","G","5-9",1631
"Querétaro","2008","G","5-9",317
"Quintana Roo","2008","G","5-9",6
"San Luis Potosí","2008","G","5-9",21
"Sinaloa","2008","G","5-9",730
"Sonora","2008","G","5-9",471
"Tabasco","2008","G","5-9",3
"Tamaulipas","2008","G","5-9",27
"Tlaxcala","2008","G","5-9",3
"Veracruz","2008","G","5-9",23
"Yucatán","2008","G","5-9",3
"Zacatecas","2008","G","5-9",376
"Aguascalientes","2008","G","10 - 14",272
"Baja California","2008","G","10 - 14",11
"Baja California Sur","2008","G","10 - 14",8
"Campeche","2008","G","10 - 14",15
"Coahuila","2008","G","10 - 14",14
"Colima","2008","G","10 - 14",1020
"Chiapas","2008","G","10 - 14",31
"Chihuahua","2008","G","10 - 14",34
"Distrito Federal","2008","G","10 - 14",60
"Durango","2008","G","10 - 14",691
"Guanajuato","2008","G","10 - 14",3508
"Guerrero","2008","G","10 - 14",5513
"Hidalgo","2008","G","10 - 14",29
"Jalisco","2008","G","10 - 14",6326
"México","2008","G","10 - 14",1114
"Michoacán","2008","G","10 - 14",4016
"Morelos","2008","G","10 - 14",3488
"Nayarit","2008","G","10 - 14",1673
"Nuevo León","2008","G","10 - 14",11
"Oaxaca","2008","G","10 - 14",704
"Puebla","2008","G","10 - 14",1863
"Querétaro","2008","G","10 - 14",459
"Quintana Roo","2008","G","10 - 14",7
"San Luis Potosí","2008","G","10 - 14",41
"Sinaloa","2008","G","10 - 14",847
"Sonora","2008","G","10 - 14",481
"Tabasco","2008","G","10 - 14",3
"Tamaulipas","2008","G","10 - 14",30
"Tlaxcala","2008","G","10 - 14",3
"Veracruz","2008","G","10 - 14",18
"Yucatán","2008","G","10 - 14",5
"Zacatecas","2008","G","10 - 14",435
"Aguascalientes","2008","G","15 - 19",311
"Baja California","2008","G","15 - 19",14
"Baja California Sur","2008","G","15 - 19",19
"Campeche","2008","G","15 - 19",7
"Coahuila","2008","G","15 - 19",21
"Colima","2008","G","15 - 19",1318
"Chiapas","2008","G","15 - 19",42
"Chihuahua","2008","G","15 - 19",42
"Distrito Federal","2008","G","15 - 19",56
"Durango","2008","G","15 - 19",801
"Guanajuato","2008","G","15 - 19",3482
"Guerrero","2008","G","15 - 19",4919
"Hidalgo","2008","G","15 - 19",20
"Jalisco","2008","G","15 - 19",6525
"México","2008","G","15 - 19",1006
"Michoacán","2008","G","15 - 19",3814
"Morelos","2008","G","15 - 19",3671
"Nayarit","2008","G","15 - 19",1917
"Nuevo León","2008","G","15 - 19",16
"Oaxaca","2008","G","15 - 19",715
"Puebla","2008","G","15 - 19",1977
"Querétaro","2008","G","15 - 19",440
"Quintana Roo","2008","G","15 - 19",6
"San Luis Potosí","2008","G","15 - 19",25
"Sinaloa","2008","G","15 - 19",1027
"Sonora","2008","G","15 - 19",497
"Tabasco","2008","G","15 - 19",9
"Tamaulipas","2008","G","15 - 19",24
"Tlaxcala","2008","G","15 - 19",7
"Veracruz","2008","G","15 - 19",25
"Yucatán","2008","G","15 - 19",5
"Zacatecas","2008","G","15 - 19",473
"Aguascalientes","2008","G","20 - 24",198
"Baja California","2008","G","20 - 24",22
"Baja California Sur","2008","G","20 - 24",16
"Campeche","2008","G","20 - 24",15
"Coahuila","2008","G","20 - 24",23
"Colima","2008","G","20 - 24",1308
"Chiapas","2008","G","20 - 24",36
"Chihuahua","2008","G","20 - 24",38
"Distrito Federal","2008","G","20 - 24",43
"Durango","2008","G","20 - 24",700
"Guanajuato","2008","G","20 - 24",2967
"Guerrero","2008","G","20 - 24",3486
"Hidalgo","2008","G","20 - 24",26
"Jalisco","2008","G","20 - 24",5466
"México","2008","G","20 - 24",684
"Michoacán","2008","G","20 - 24",2993
"Morelos","2008","G","20 - 24",3135
"Nayarit","2008","G","20 - 24",1458
"Nuevo León","2008","G","20 - 24",26
"Oaxaca","2008","G","20 - 24",484
"Puebla","2008","G","20 - 24",1446
"Querétaro","2008","G","20 - 24",446
"Quintana Roo","2008","G","20 - 24",13
"San Luis Potosí","2008","G","20 - 24",33
"Sinaloa","2008","G","20 - 24",881
"Sonora","2008","G","20 - 24",402
"Tabasco","2008","G","20 - 24",5
"Tamaulipas","2008","G","20 - 24",34
"Tlaxcala","2008","G","20 - 24",7
"Veracruz","2008","G","20 - 24",29
"Yucatán","2008","G","20 - 24",6
"Zacatecas","2008","G","20 - 24",406
"Aguascalientes","2008","G","25 - 44",429
"Baja California","2008","G","25 - 44",62
"Baja California Sur","2008","G","25 - 44",31
"Campeche","2008","G","25 - 44",33
"Coahuila","2008","G","25 - 44",61
"Colima","2008","G","25 - 44",3221
"Chiapas","2008","G","25 - 44",109
"Chihuahua","2008","G","25 - 44",115
"Distrito Federal","2008","G","25 - 44",159
"Durango","2008","G","25 - 44",1789
"Guanajuato","2008","G","25 - 44",7834
"Guerrero","2008","G","25 - 44",9226
"Hidalgo","2008","G","25 - 44",83
"Jalisco","2008","G","25 - 44",14829
"México","2008","G","25 - 44",1789
"Michoacán","2008","G","25 - 44",7530
"Morelos","2008","G","25 - 44",7367
"Nayarit","2008","G","25 - 44",4239
"Nuevo León","2008","G","25 - 44",102
"Oaxaca","2008","G","25 - 44",1402
"Puebla","2008","G","25 - 44",3347
"Querétaro","2008","G","25 - 44",1454
"Quintana Roo","2008","G","25 - 44",31
"San Luis Potosí","2008","G","25 - 44",107
"Sinaloa","2008","G","25 - 44",2344
"Sonora","2008","G","25 - 44",1066
"Tabasco","2008","G","25 - 44",24
"Tamaulipas","2008","G","25 - 44",107
"Tlaxcala","2008","G","25 - 44",24
"Veracruz","2008","G","25 - 44",63
"Yucatán","2008","G","25 - 44",26
"Zacatecas","2008","G","25 - 44",1008
"Aguascalientes","2008","G","45 - 49",95
"Baja California","2008","G","45 - 49",5
"Baja California Sur","2008","G","45 - 49",7
"Campeche","2008","G","45 - 49",6
"Coahuila","2008","G","45 - 49",10
"Colima","2008","G","45 - 49",573
"Chiapas","2008","G","45 - 49",28
"Chihuahua","2008","G","45 - 49",13
"Distrito Federal","2008","G","45 - 49",23
"Durango","2008","G","45 - 49",349
"Guanajuato","2008","G","45 - 49",1186
"Guerrero","2008","G","45 - 49",1705
"Hidalgo","2008","G","45 - 49",10
"Jalisco","2008","G","45 - 49",2489
"México","2008","G","45 - 49",334
"Michoacán","2008","G","45 - 49",1387
"Morelos","2008","G","45 - 49",1845
"Nayarit","2008","G","45 - 49",827
"Nuevo León","2008","G","45 - 49",11
"Oaxaca","2008","G","45 - 49",318
"Puebla","2008","G","45 - 49",798
"Querétaro","2008","G","45 - 49",181
"Quintana Roo","2008","G","45 - 49",5
"San Luis Potosí","2008","G","45 - 49",30
"Sinaloa","2008","G","45 - 49",497
"Sonora","2008","G","45 - 49",218
"Tabasco","2008","G","45 - 49",0
"Tamaulipas","2008","G","45 - 49",15
"Tlaxcala","2008","G","45 - 49",2
"Veracruz","2008","G","45 - 49",13
"Yucatán","2008","G","45 - 49",3
"Zacatecas","2008","G","45 - 49",222
"Aguascalientes","2008","G","50 - 59",125
"Baja California","2008","G","50 - 59",5
"Baja California Sur","2008","G","50 - 59",6
"Campeche","2008","G","50 - 59",11
"Coahuila","2008","G","50 - 59",12
"Colima","2008","G","50 - 59",780
"Chiapas","2008","G","50 - 59",50
"Chihuahua","2008","G","50 - 59",23
"Distrito Federal","2008","G","50 - 59",28
"Durango","2008","G","50 - 59",405
"Guanajuato","2008","G","50 - 59",1729
"Guerrero","2008","G","50 - 59",2555
"Hidalgo","2008","G","50 - 59",16
"Jalisco","2008","G","50 - 59",3672
"México","2008","G","50 - 59",471
"Michoacán","2008","G","50 - 59",1856
"Morelos","2008","G","50 - 59",2400
"Nayarit","2008","G","50 - 59",1207
"Nuevo León","2008","G","50 - 59",18
"Oaxaca","2008","G","50 - 59",439
"Puebla","2008","G","50 - 59",1187
"Querétaro","2008","G","50 - 59",281
"Quintana Roo","2008","G","50 - 59",7
"San Luis Potosí","2008","G","50 - 59",32
"Sinaloa","2008","G","50 - 59",641
"Sonora","2008","G","50 - 59",286
"Tabasco","2008","G","50 - 59",4
"Tamaulipas","2008","G","50 - 59",13
"Tlaxcala","2008","G","50 - 59",2
"Veracruz","2008","G","50 - 59",30
"Yucatán","2008","G","50 - 59",6
"Zacatecas","2008","G","50 - 59",296
"Aguascalientes","2008","G","60 - 64",48
"Baja California","2008","G","60 - 64",1
"Baja California Sur","2008","G","60 - 64",4
"Campeche","2008","G","60 - 64",2
"Coahuila","2008","G","60 - 64",1
"Colima","2008","G","60 - 64",270
"Chiapas","2008","G","60 - 64",12
"Chihuahua","2008","G","60 - 64",3
"Distrito Federal","2008","G","60 - 64",8
"Durango","2008","G","60 - 64",152
"Guanajuato","2008","G","60 - 64",746
"Guerrero","2008","G","60 - 64",1093
"Hidalgo","2008","G","60 - 64",5
"Jalisco","2008","G","60 - 64",1418
"México","2008","G","60 - 64",190
"Michoacán","2008","G","60 - 64",720
"Morelos","2008","G","60 - 64",978
"Nayarit","2008","G","60 - 64",443
"Nuevo León","2008","G","60 - 64",3
"Oaxaca","2008","G","60 - 64",206
"Puebla","2008","G","60 - 64",543
"Querétaro","2008","G","60 - 64",89
"Quintana Roo","2008","G","60 - 64",0
"San Luis Potosí","2008","G","60 - 64",18
"Sinaloa","2008","G","60 - 64",258
"Sonora","2008","G","60 - 64",100
"Tabasco","2008","G","60 - 64",0
"Tamaulipas","2008","G","60 - 64",11
"Tlaxcala","2008","G","60 - 64",0
"Veracruz","2008","G","60 - 64",8
"Yucatán","2008","G","60 - 64",1
"Zacatecas","2008","G","60 - 64",141
"Aguascalientes","2008","G","65 y +",144
"Baja California","2008","G","65 y +",6
"Baja California Sur","2008","G","65 y +",6
"Campeche","2008","G","65 y +",5
"Coahuila","2008","G","65 y +",2
"Colima","2008","G","65 y +",481
"Chiapas","2008","G","65 y +",24
"Chihuahua","2008","G","65 y +",13
"Distrito Federal","2008","G","65 y +",18
"Durango","2008","G","65 y +",322
"Guanajuato","2008","G","65 y +",1624
"Guerrero","2008","G","65 y +",2547
"Hidalgo","2008","G","65 y +",15
"Jalisco","2008","G","65 y +",3121
"México","2008","G","65 y +",442
"Michoacán","2008","G","65 y +",1705
"Morelos","2008","G","65 y +",1783
"Nayarit","2008","G","65 y +",1003
"Nuevo León","2008","G","65 y +",9
"Oaxaca","2008","G","65 y +",575
"Puebla","2008","G","65 y +",1392
"Querétaro","2008","G","65 y +",199
"Quintana Roo","2008","G","65 y +",4
"San Luis Potosí","2008","G","65 y +",25
"Sinaloa","2008","G","65 y +",569
"Sonora","2008","G","65 y +",188
"Tabasco","2008","G","65 y +",2
"Tamaulipas","2008","G","65 y +",12
"Tlaxcala","2008","G","65 y +",1
"Veracruz","2008","G","65 y +",13
"Yucatán","2008","G","65 y +",1
"Zacatecas","2008","G","65 y +",343
"Aguascalientes","2008","G","Ign.",0
"Baja California","2008","G","Ign.",0
"Baja California Sur","2008","G","Ign.",0
"Campeche","2008","G","Ign.",0
"Coahuila","2008","G","Ign.",0
"Colima","2008","G","Ign.",13
"Chiapas","2008","G","Ign.",0
"Chihuahua","2008","G","Ign.",10
"Distrito Federal","2008","G","Ign.",1
"Durango","2008","G","Ign.",0
"Guanajuato","2008","G","Ign.",7
"Guerrero","2008","G","Ign.",16
"Hidalgo","2008","G","Ign.",0
"Jalisco","2008","G","Ign.",68
"México","2008","G","Ign.",3
"Michoacán","2008","G","Ign.",137
"Morelos","2008","G","Ign.",16
"Nayarit","2008","G","Ign.",3
"Nuevo León","2008","G","Ign.",0
"Oaxaca","2008","G","Ign.",3
"Puebla","2008","G","Ign.",3
"Querétaro","2008","G","Ign.",0
"Quintana Roo","2008","G","Ign.",0
"San Luis Potosí","2008","G","Ign.",0
"Sinaloa","2008","G","Ign.",1
"Sonora","2008","G","Ign.",3
"Tabasco","2008","G","Ign.",0
"Tamaulipas","2008","G","Ign.",0
"Tlaxcala","2008","G","Ign.",0
"Veracruz","2008","G","Ign.",0
"Yucatán","2008","G","Ign.",0
"Zacatecas","2008","G","Ign.",5
"Aguascalientes","2008","G","Total",1986
"Baja California","2008","G","Total",155
"Baja California Sur","2008","G","Total",120
"Campeche","2008","G","Total",125
"Coahuila","2008","G","Total",185
"Colima","2008","G","Total",10361
"Chiapas","2008","G","Total",391
"Chihuahua","2008","G","Total",413
"Distrito Federal","2008","G","Total",481
"Durango","2008","G","Total",6254
"Guanajuato","2008","G","Total",28632
"Guerrero","2008","G","Total",40141
"Hidalgo","2008","G","Total",228
"Jalisco","2008","G","Total",54177
"México","2008","G","Total",8119
"Michoacán","2008","G","Total",30701
"Morelos","2008","G","Total",30720
"Nayarit","2008","G","Total",15128
"Nuevo León","2008","G","Total",233
"Oaxaca","2008","G","Total",5847
"Puebla","2008","G","Total",15443
"Querétaro","2008","G","Total",4228
"Quintana Roo","2008","G","Total",86
"San Luis Potosí","2008","G","Total",353
"Sinaloa","2008","G","Total",8487
"Sonora","2008","G","Total",4248
"Tabasco","2008","G","Total",53
"Tamaulipas","2008","G","Total",307
"Tlaxcala","2008","G","Total",52
"Veracruz","2008","G","Total",242
"Yucatán","2008","G","Total",63
"Zacatecas","2008","G","Total",4017
"Aguascalientes","2009","G","<1",6
"Baja California","2009","G","<1",3
"Baja California Sur","2009","G","<1",0
"Campeche","2009","G","<1",0
"Coahuila","2009","G","<1",1
"Colima","2009","G","<1",41
"Chiapas","2009","G","<1",2
"Chihuahua","2009","G","<1",9
"Distrito Federal","2009","G","<1",2
"Durango","2009","G","<1",38
"Guanajuato","2009","G","<1",132
"Guerrero","2009","G","<1",286
"Hidalgo","2009","G","<1",0
"Jalisco","2009","G","<1",351
"México","2009","G","<1",76
"Michoacán","2009","G","<1",262
"Morelos","2009","G","<1",146
"Nayarit","2009","G","<1",89
"Nuevo León","2009","G","<1",3
"Oaxaca","2009","G","<1",38
"Puebla","2009","G","<1",69
"Querétaro","2009","G","<1",37
"Quintana Roo","2009","G","<1",4
"San Luis Potosí","2009","G","<1",4
"Sinaloa","2009","G","<1",71
"Sonora","2009","G","<1",43
"Tabasco","2009","G","<1",0
"Tamaulipas","2009","G","<1",3
"Tlaxcala","2009","G","<1",0
"Veracruz","2009","G","<1",4
"Yucatán","2009","G","<1",0
"Zacatecas","2009","G","<1",14
"Aguascalientes","2009","G","1-4",137
"Baja California","2009","G","1-4",13
"Baja California Sur","2009","G","1-4",10
"Campeche","2009","G","1-4",4
"Coahuila","2009","G","1-4",23
"Colima","2009","G","1-4",586
"Chiapas","2009","G","1-4",37
"Chihuahua","2009","G","1-4",60
"Distrito Federal","2009","G","1-4",26
"Durango","2009","G","1-4",380
"Guanajuato","2009","G","1-4",2003
"Guerrero","2009","G","1-4",4175
"Hidalgo","2009","G","1-4",9
"Jalisco","2009","G","1-4",4148
"México","2009","G","1-4",947
"Michoacán","2009","G","1-4",2887
"Morelos","2009","G","1-4",2640
"Nayarit","2009","G","1-4",1004
"Nuevo León","2009","G","1-4",18
"Oaxaca","2009","G","1-4",389
"Puebla","2009","G","1-4",1116
"Querétaro","2009","G","1-4",288
"Quintana Roo","2009","G","1-4",15
"San Luis Potosí","2009","G","1-4",19
"Sinaloa","2009","G","1-4",654
"Sonora","2009","G","1-4",497
"Tabasco","2009","G","1-4",5
"Tamaulipas","2009","G","1-4",29
"Tlaxcala","2009","G","1-4",9
"Veracruz","2009","G","1-4",21
"Yucatán","2009","G","1-4",1
"Zacatecas","2009","G","1-4",255
"Aguascalientes","2009","G","5-9",196
"Baja California","2009","G","5-9",13
"Baja California Sur","2009","G","5-9",6
"Campeche","2009","G","5-9",1
"Coahuila","2009","G","5-9",28
"Colima","2009","G","5-9",673
"Chiapas","2009","G","5-9",25
"Chihuahua","2009","G","5-9",43
"Distrito Federal","2009","G","5-9",40
"Durango","2009","G","5-9",540
"Guanajuato","2009","G","5-9",2791
"Guerrero","2009","G","5-9",5449
"Hidalgo","2009","G","5-9",9
"Jalisco","2009","G","5-9",5568
"México","2009","G","5-9",1284
"Michoacán","2009","G","5-9",3688
"Morelos","2009","G","5-9",3464
"Nayarit","2009","G","5-9",1232
"Nuevo León","2009","G","5-9",18
"Oaxaca","2009","G","5-9",576
"Puebla","2009","G","5-9",1559
"Querétaro","2009","G","5-9",331
"Quintana Roo","2009","G","5-9",11
"San Luis Potosí","2009","G","5-9",26
"Sinaloa","2009","G","5-9",817
"Sonora","2009","G","5-9",505
"Tabasco","2009","G","5-9",5
"Tamaulipas","2009","G","5-9",30
"Tlaxcala","2009","G","5-9",6
"Veracruz","2009","G","5-9",13
"Yucatán","2009","G","5-9",2
"Zacatecas","2009","G","5-9",349
"Aguascalientes","2009","G","10 - 14",251
"Baja California","2009","G","10 - 14",24
"Baja California Sur","2009","G","10 - 14",8
"Campeche","2009","G","10 - 14",3
"Coahuila","2009","G","10 - 14",19
"Colima","2009","G","10 - 14",957
"Chiapas","2009","G","10 - 14",21
"Chihuahua","2009","G","10 - 14",42
"Distrito Federal","2009","G","10 - 14",54
"Durango","2009","G","10 - 14",639
"Guanajuato","2009","G","10 - 14",3378
"Guerrero","2009","G","10 - 14",6194
"Hidalgo","2009","G","10 - 14",20
"Jalisco","2009","G","10 - 14",6164
"México","2009","G","10 - 14",1244
"Michoacán","2009","G","10 - 14",4091
"Morelos","2009","G","10 - 14",3610
"Nayarit","2009","G","10 - 14",1607
"Nuevo León","2009","G","10 - 14",26
"Oaxaca","2009","G","10 - 14",646
"Puebla","2009","G","10 - 14",1786
"Querétaro","2009","G","10 - 14",402
"Quintana Roo","2009","G","10 - 14",11
"San Luis Potosí","2009","G","10 - 14",33
"Sinaloa","2009","G","10 - 14",974
"Sonora","2009","G","10 - 14",513
"Tabasco","2009","G","10 - 14",3
"Tamaulipas","2009","G","10 - 14",23
"Tlaxcala","2009","G","10 - 14",5
"Veracruz","2009","G","10 - 14",20
"Yucatán","2009","G","10 - 14",4
"Zacatecas","2009","G","10 - 14",403
"Aguascalientes","2009","G","15 - 19",259
"Baja California","2009","G","15 - 19",23
"Baja California Sur","2009","G","15 - 19",11
"Campeche","2009","G","15 - 19",10
"Coahuila","2009","G","15 - 19",35
"Colima","2009","G","15 - 19",1258
"Chiapas","2009","G","15 - 19",31
"Chihuahua","2009","G","15 - 19",40
"Distrito Federal","2009","G","15 - 19",46
"Durango","2009","G","15 - 19",765
"Guanajuato","2009","G","15 - 19",3527
"Guerrero","2009","G","15 - 19",6054
"Hidalgo","2009","G","15 - 19",18
"Jalisco","2009","G","15 - 19",6735
"México","2009","G","15 - 19",1277
"Michoacán","2009","G","15 - 19",4269
"Morelos","2009","G","15 - 19",3962
"Nayarit","2009","G","15 - 19",1902
"Nuevo León","2009","G","15 - 19",20
"Oaxaca","2009","G","15 - 19",671
"Puebla","2009","G","15 - 19",1961
"Querétaro","2009","G","15 - 19",410
"Quintana Roo","2009","G","15 - 19",12
"San Luis Potosí","2009","G","15 - 19",27
"Sinaloa","2009","G","15 - 19",1027
"Sonora","2009","G","15 - 19",485
"Tabasco","2009","G","15 - 19",4
"Tamaulipas","2009","G","15 - 19",23
"Tlaxcala","2009","G","15 - 19",6
"Veracruz","2009","G","15 - 19",28
"Yucatán","2009","G","15 - 19",6
"Zacatecas","2009","G","15 - 19",430
"Aguascalientes","2009","G","20 - 24",220
"Baja California","2009","G","20 - 24",25
"Baja California Sur","2009","G","20 - 24",12
"Campeche","2009","G","20 - 24",18
"Coahuila","2009","G","20 - 24",29
"Colima","2009","G","20 - 24",1229
"Chiapas","2009","G","20 - 24",48
"Chihuahua","2009","G","20 - 24",42
"Distrito Federal","2009","G","20 - 24",58
"Durango","2009","G","20 - 24",669
"Guanajuato","2009","G","20 - 24",2844
"Guerrero","2009","G","20 - 24",4367
"Hidalgo","2009","G","20 - 24",19
"Jalisco","2009","G","20 - 24",5948
"México","2009","G","20 - 24",859
"Michoacán","2009","G","20 - 24",3473
